cell_id,sector_name,latitude,longitude,prospectivity_score,confidence_score,ore_grade_pct,exploration_priority_rank,ndvi,lst_celsius,soil_moisture_pct,elevation_m,slope_deg,iron_oxide_index,clay_alteration_index,fault_distance_km
Zone-M521,Bhandara-Nagpur Corridor (MH),21.25747,79.59389,99.8,90.8,46.5,PRIORITY-1 (Tier A),0.163,33.3,19.0,506.6,12.9,3.434,1.531,3.0
Zone-M500,Balaghat Belt (MP),22.2894,79.74558,99.8,87.4,45.9,PRIORITY-1 (Tier A),0.224,29.8,41.2,238.3,16.0,3.626,2.536,6.7
Zone-M361,Bhandara-Nagpur Corridor (MH),20.9482,79.1838,99.8,95.4,47.3,PRIORITY-1 (Tier A),0.288,35.0,17.0,236.1,15.0,2.72,2.459,2.9
Zone-M448,Balaghat Belt (MP),22.15261,79.6313,99.8,88.5,47.5,PRIORITY-1 (Tier A),0.392,30.9,33.8,588.4,7.6,2.031,2.526,5.3
Zone-M458,Keonjhar-Bonai Belt (Odisha),21.98188,84.96629,99.8,86.5,47.8,PRIORITY-1 (Tier A),0.19,28.6,27.9,477.5,21.2,3.201,1.853,13.4
Zone-M324,Balaghat Belt (MP),22.04917,80.09627,99.8,87.4,45.1,PRIORITY-1 (Tier A),0.242,40.5,41.7,582.2,13.1,3.124,1.573,10.1
Zone-M310,Keonjhar-Bonai Belt (Odisha),21.57721,85.40008,99.8,88.6,47.0,PRIORITY-1 (Tier A),0.428,39.6,42.9,548.6,13.2,3.734,2.242,10.4
Zone-M260,Balaghat Belt (MP),21.44121,79.75288,99.8,95.2,44.5,PRIORITY-1 (Tier A),0.181,29.1,24.6,585.5,4.7,3.024,2.693,12.1
Zone-M250,Keonjhar-Bonai Belt (Odisha),22.16365,85.03274,99.8,94.0,46.4,PRIORITY-1 (Tier A),0.251,40.8,36.3,292.7,17.9,3.466,1.675,12.1
Zone-M333,Bhandara-Nagpur Corridor (MH),21.12538,79.3287,99.7,92.6,45.6,PRIORITY-1 (Tier A),0.204,28.1,43.9,466.4,20.7,3.525,2.465,7.2
Zone-M113,Bhandara-Nagpur Corridor (MH),21.47404,79.87111,99.7,87.0,42.6,PRIORITY-1 (Tier A),0.151,40.6,51.0,511.2,10.8,2.533,2.289,12.6
Zone-M426,Keonjhar-Bonai Belt (Odisha),21.37923,85.01236,99.2,87.0,47.2,PRIORITY-1 (Tier A),0.37,38.6,27.5,408.9,8.2,3.851,2.168,13.1
Zone-M345,Bhandara-Nagpur Corridor (MH),21.44936,79.78884,99.1,96.4,43.9,PRIORITY-1 (Tier A),0.37,34.2,43.3,399.0,8.6,3.053,2.592,13.1
Zone-M320,Balaghat Belt (MP),21.94674,79.64941,99.1,89.1,45.0,PRIORITY-1 (Tier A),0.125,36.2,25.1,427.1,23.2,2.638,2.46,3.3
Zone-M202,Keonjhar-Bonai Belt (Odisha),22.1991,84.1415,99.0,85.7,47.4,PRIORITY-1 (Tier A),0.13,32.3,43.2,312.9,17.5,3.837,1.341,9.7
Zone-M413,Bhandara-Nagpur Corridor (MH),21.31503,79.67892,98.9,84.6,46.0,PRIORITY-1 (Tier A),0.432,39.8,26.9,255.5,7.4,2.067,1.385,7.6
Zone-M196,Balaghat Belt (MP),21.88856,80.59884,98.6,90.1,47.8,PRIORITY-1 (Tier A),0.408,40.6,31.9,347.3,15.8,3.716,1.516,9.0
Zone-M240,Balaghat Belt (MP),21.45153,80.92164,98.4,85.5,45.7,PRIORITY-1 (Tier A),0.255,39.8,30.4,483.1,15.8,2.187,1.743,5.2
Zone-M484,Balaghat Belt (MP),22.31228,80.04108,97.9,91.2,46.8,PRIORITY-1 (Tier A),0.233,39.3,24.5,323.2,14.1,2.348,1.214,9.4
Zone-M425,Bhandara-Nagpur Corridor (MH),21.10565,80.06976,97.7,92.5,45.1,PRIORITY-1 (Tier A),0.427,42.0,43.8,352.1,21.6,1.903,1.547,12.6
Zone-M532,Balaghat Belt (MP),21.39593,80.07889,97.4,85.3,44.9,PRIORITY-1 (Tier A),0.287,39.4,52.4,456.2,23.0,2.925,1.791,12.0
Zone-M176,Balaghat Belt (MP),21.65407,80.76135,97.4,87.0,47.4,PRIORITY-1 (Tier A),0.156,33.0,26.5,356.3,8.7,1.888,1.227,13.8
Zone-M456,Balaghat Belt (MP),21.39722,80.2489,97.0,93.1,43.3,PRIORITY-1 (Tier A),0.374,41.7,37.9,377.2,17.0,1.944,2.546,2.4
Zone-M100,Balaghat Belt (MP),21.98385,80.12469,96.7,86.0,43.2,PRIORITY-1 (Tier A),0.171,28.8,49.6,496.5,18.2,1.843,2.655,11.8
Zone-M540,Balaghat Belt (MP),22.22355,81.11746,96.5,85.7,44.2,PRIORITY-1 (Tier A),0.396,30.2,27.0,334.5,11.4,2.335,1.933,6.2
Zone-M396,Balaghat Belt (MP),21.4893,80.72218,96.1,96.0,45.5,PRIORITY-1 (Tier A),0.307,35.2,18.4,472.5,11.6,3.075,1.783,4.0
Zone-M156,Balaghat Belt (MP),22.11436,80.72226,95.9,87.1,42.1,PRIORITY-1 (Tier A),0.234,30.5,51.3,488.4,12.0,2.77,2.621,2.8
Zone-M434,Keonjhar-Bonai Belt (Odisha),22.16991,85.21091,95.7,87.4,42.8,PRIORITY-1 (Tier A),0.202,41.2,26.9,576.7,11.9,2.092,1.216,8.0
Zone-M478,Keonjhar-Bonai Belt (Odisha),21.74582,85.42279,95.6,96.3,46.2,PRIORITY-1 (Tier A),0.137,29.4,43.8,349.6,7.7,1.883,1.233,11.0
Zone-M482,Keonjhar-Bonai Belt (Odisha),21.77047,85.52333,95.4,93.2,46.4,PRIORITY-1 (Tier A),0.448,32.0,36.5,465.3,12.1,2.155,2.666,12.1
Zone-M377,Bhandara-Nagpur Corridor (MH),21.25314,79.54251,95.3,89.0,42.7,PRIORITY-1 (Tier A),0.368,35.4,42.1,417.1,18.6,3.531,1.42,11.8
Zone-M309,Bhandara-Nagpur Corridor (MH),20.9485,79.746,95.2,86.1,44.6,PRIORITY-1 (Tier A),0.378,36.2,53.1,239.5,9.3,3.063,1.645,10.2
Zone-M542,Keonjhar-Bonai Belt (Odisha),21.44338,85.68713,94.7,93.8,42.5,PRIORITY-1 (Tier A),0.429,37.7,21.2,332.0,20.8,2.24,1.309,10.1
Zone-M213,Bhandara-Nagpur Corridor (MH),21.02669,79.84049,94.7,90.8,42.0,PRIORITY-1 (Tier A),0.197,33.5,38.8,448.5,23.8,2.087,2.243,6.1
Zone-M182,Keonjhar-Bonai Belt (Odisha),22.11922,85.50291,94.6,91.7,42.8,PRIORITY-1 (Tier A),0.368,30.2,50.2,621.0,4.6,3.534,1.393,5.2
